View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,CM,0,1,SingleQuestion,Jim is assembling the project budget on his large project. Which of the following is a mathematical model that he could use for this purpose?,,,[Qno: PML_104] >> ,,,,
,,,,,,,Parametric Modeling,,,,,
,,,,,,1,Parametric Estimating,,,,,
,,,,,,,Pareto formulas,,,,,
,,,,,,,EVM,,,,,
Radio,CM,0,1,SingleQuestion,"Your team member provided you the estimates of a new project which is very similar to two other completed projects. The first one had a total cost of $20,,000 and other had total cost of $25,000. Team member estimated the new project is at $28,000. This is and example of:",,,[Qno: PML_112] >> ,,,,
,,,,,,,Bottom-up estimating,,,,,
,,,,,,1,Top-down estimating,,,,,
,,,,,,,Rough order of magnitude estimating,,,,,
,,,,,,,Parametric Estimating,,,,,
Radio,CM,0,1,SingleQuestion,Which one is not project selection method? ,,,[Qno: PML_704] >> ,,,,
,,,,,,,Internal Rate of Return ,,,,,
,,,,,,1,Integer Algorithm ,,,,,
,,,,,,,Net Present Value,,,,,
,,,,,,,Discounted cash flow ,,,,,
Radio,CM,0,1,SingleQuestion,Which one represents order of magnitude estimates,,,"[Qno: PML_726] >> The order of magnitude is preferred during initiation phase, and it has an accuracy range of -25% to 75%. This range is 100% range.",,,,
,,,,,,, -25% to +50% ,,,,,
,,,,,,, -25% to +25% ,,,,,
,,,,,,, -25% to +10% ,,,,,
,,,,,,1, -25% to +75% ,,,,,
Radio,CM,0,1,SingleQuestion,Which one the below process does not use Reserve Analysis tool & technique?,,,[Qno: PML_793] >> Reserve analysis is used while you working on Estimate Costs process to calculate contingency buffers. Reserve analysis is also used during Determine Budget to calculate management contingency buffers that apply to the entire project. Reserve analysis is done during Activity Duration estimation in order to calculate duration buffers for individual activities.,,,,
,,,,,,,Estimating Activity Duration,,,,,
,,,,,,,Determine Budget,,,,,
,,,,,,1,Control Costs,,,,,
,,,,,,,Estimate Costs,,,,,
Radio,CM,0,1,SingleQuestion,Project Cost Management Plan is created as a part of,,,[Qno: PML_794] >> PMBoK does not have separate process in the Project Cost Estimation knowledge area to develop a cost management plan. It is developed in Develop Project Management Plan process.,,,,
,,,,,,,Control Costs process,,,,,
,,,,,,1,Develop Project Management Plan process,,,,,
,,,,,,,Determine Budget process,,,,,
,,,,,,,Estimate Costs process,,,,,
Radio,CM,0,1,SingleQuestion,Control Costs is concerned with:,,,[Qno: PML_819] >> Control Costs is concerned with Managing changes when they occur,,,,
,,,,,,,Resource rates,,,,,
,,,,,,1,Managing changes when they occur,,,,,
,,,,,,,Chart of accounts,,,,,
,,,,,,,Organizational policies,,,,,
Radio,CM,0,1,SingleQuestion,Top down estimating is also called as.,,,"[Qno: PML_826] >> Analogous estimating uses the actual cost of a previous, similar project as the basis for estimating the cost of the project in hand.",,,,
,,,,,,,Life-cycle costing,,,,,
,,,,,,,Parametric modeling,,,,,
,,,,,,1,Analogous estimating,,,,,
,,,,,,,Bottom up estimating,,,,,
Radio,CM,0,1,SingleQuestion,You are in mid of project and customer is asking for EAC. How do you calculate Estimate at Completion(EAC)?,,,[Qno: PML_1045] >> ,,,,
,,,,,,,Budgeted Cost(BC) - Actual Cost(AC),,,,,
,,,,,,,Actual Cost(AC) + Budgeted Cost(BC),,,,,
,,,,,,1,Actual Cost(AC) + Estimate to Complete(ETC),,,,,
,,,,,,,Actual Cost(AC) - Planned Value(PV),,,,,
Radio,CM,0,1,SingleQuestion,"In your project, CPI = 0.9 and PV = 400, AC = 500, BAC = 900. What will be the EAC if the trend continues?",,,[Qno: PML_1057] >> ,,,,
,,,,,,1,1000,,,,,
,,,,,,,600,,,,,
,,,,,,,512,,,,,
,,,,,,,480,,,,,
Radio,CM,0,1,SingleQuestion,"Ravi is a project manager of $100,000 project. According to the schedule, Ravi&rsquo;s team should have completed 75% of the work by now. But at the latest status meeting, the team reported that they have actually completed only 50% of the work. The team has spent $75,000 so far on the project. How would you BEST describe this project?",,,"[Qno: PML_1160] >> BAC= $ 100,000 <BR>PV= $ 75,000<BR>AC= $ 75,000<BR>EV= $ 50,000<BR>CPI= EV/AC = .67<BR>SPI= EV/PV = .67<BR>",,,,
,,,,,,,The project is ahead of schedule and within its budget,,,,,
,,,,,,,The project is behind schedule and within its budget,,,,,
,,,,,,,The project is ahead of schedule and over its budget,,,,,
,,,,,,1,The project is behind schedule and over its budget,,,,,
Radio,CM,0,1,SingleQuestion, All of the following are incorrect regarding the computation of EAC except?,,,"[Qno: PML_1369] >> Four formulae of EAC calculation: EAC = AC + ETC; <BR>EAC = AC + BAC -EV; <BR>EAC = BAC / CPI; <BR>EAC = AC + (BAC - EV) / (CPI x SPI). <BR>PMBOK (r) Guide, pp 184-185",,,,
,,,,,,1, EAC calculations either includes AC or BAC or both,,,,,
,,,,,,, EV is always included,,,,,
,,,,,,, SPI is always included ,,,,,
,,,,,,, ETC is never used in an EAC calculation,,,,,
Radio,CM,0,1,SingleQuestion,Lifecycle costing,,,[Qno: PML_1603] >> Lifecycle costing is a method of including all of the cost associated with the project over its entire life,,,,
,,,,,,1,Is a method of including all of the cost associated with the project over its entire life,,,,,
,,,,,,,Is a  local government&rsquo;s accounting method,,,,,
,,,,,,,Is a method of predicting the life of a project,,,,,
,,,,,,,Is a method of evaluating projects when they are complete,,,,,
Radio,CM,0,1,SingleQuestion,The contingency budget will,,,[Qno: PML_1678] >> Reduce the probability of cost overruns,,,,
,,,,,,,Reduce the probability of scope changes,,,,,
,,,,,,,Increase the probability of a cost overruns,,,,,
,,,,,,,Increase the probability of scope changes,,,,,
,,,,,,1,Reduce the probability of cost overruns,,,,,
Radio,CM,0,1,SingleQuestion,"In your project, you are using cost aggregation, expert judgement, and historical relationships to establish a cost performance baseline. This is performed during:",,,"[Qno: PML_2034] >> Determine Budget is the process of aggregating the estimated costs of individual activities or work packages to establish an authorized cost baseline. Tools used in this process are Cost Aggregation, Reserve Analysis, Expert judgement, Historical Relationships, Funding Limit Reconciliation",,,,
,,,,,,1, Determine Budget,,,,,
,,,,,,, Control Costs,,,,,
,,,,,,, Estimate Costs,,,,,
,,,,,,, Create WBS,,,,,
Radio,CM,0,1,SingleQuestion,Work Performance Measurement is output of the Control Schedule Process. Which of the following are work performance measurement to the Control Schedule process? ,,,[Qno: PML_2220] >> PMBOK(r) Guide 4th Edition Page 163,,,,
,,,,,,1,SV and SPI,,,,,
,,,,,,,SPI and CPI,,,,,
,,,,,,,EAC and SPI,,,,,
,,,,,,,SV and CV,,,,,
Radio,CM,0,1,SingleQuestion,"Project A will take 2 years to complete and has NPV value $100,000 and Project B will take 4 years to complete and has NPV value $80,000. What is the opportunity cost of selecting Project A?",,,[Qno: PML_2238] >> Opportunity cost of selecting Project A is value of Project B.,,,,
,,,,,,,"$ 35,000",,,,,
,,,,,,1,"$ 80,000",,,,,
,,,,,,,"$ 30,000",,,,,
,,,,,,,"$ 130,000",,,,,
Radio,CM,0,1,SingleQuestion,"Project A has a payback period of 20 months. Project B has a cost of $100,000, with expected cash inflows of $25,000 the first year and $10,000 per quarter after that. Which project would you recommend?",,,"[Qno: PML_2240] >> Payback period of project B: <BR>Setup cost = First Year inflow + Remaining inflow => 100,000 = 25,000 + 10,000 x months/3<BR>Payback period (months) = (100,000 - 25,000)*3/10,000 => 3*75,000/10,000= 22.5 Months<BR>Payback period of project A is less than the same of B therefore select project A.",,,,
,,,,,,,Select project A because payback period is 20 month,,,,,
,,,,,,,Select project B because payback period is 19 month,,,,,
,,,,,,1,Select project A because it has less payback period than B&rsquo;s,,,,,
,,,,,,,Select project B because it has less payback period than A&rsquo;s,,,,,
Radio,CM,0,1,SingleQuestion,A technique used to predict the future based on the actual performance of the project till date is called,,,"[Qno: PML_2244] >> In Variance Analysis you compare actual vs. planned, no prediction is involved in this tool/technique.",,,,
,,,,,,,Variance Analysis,,,,,
,,,,,,1,Forecasting,,,,,
,,,,,,,Issue Analysis,,,,,
,,,,,,,Pareto Analysis,,,,,
Radio,CM,0,1,SingleQuestion,While doing ------- you would use budget forecast information.,,,[Qno: PML_2251] >> ,,,,
,,,,,,,Identify Stakeholders,,,,,
,,,,,,1,Reports performance,,,,,
,,,,,,,Plan communications,,,,,
,,,,,,,Manage stakeholder expectations,,,,,
Radio,CM,0,1,SingleQuestion,"Which process has following output: Activity cost estimates, Basis of estimates, and Project document updates",,,[Qno: PML_2550] >> ,,,,
,,,,,,,Determine Budget,,,,,
,,,,,,1,Estimate Costs,,,,,
,,,,,,,Control Costs,,,,,
,,,,,,,None of the above,,,,,
Radio,CM,0,1,SingleQuestion,Project document updates are an output of:,,,[Qno: PML_2553] >> ,,,,
,,,,,,,Estimate Costs,,,,,
,,,,,,,Determine Budgets,,,,,
,,,,,,,Control Costs,,,,,
,,,,,,1,All of the above,,,,,
Radio,CM,0,1,SingleQuestion,Earned value management is:,,,[Qno: PML_2554] >> ,,,,
,,,,,,1,A Tool & Technique of Control Costs,,,,,
,,,,,,,An input of Control Costs,,,,,
,,,,,,,An output of Estimate Costs,,,,,
,,,,,,,A Tool & Technique of Estimate Costs,,,,,
Radio,CM,0,1,SingleQuestion,Earn value management tool & technique is part of which process,,,[Qno: PML_2617] >> ,,,,
,,,,,,,Estimate Cost,,,,,
,,,,,,,Determine Budget,,,,,
,,,,,,1,Control Cost,,,,,
,,,,,,,Develop Schedule,,,,,
Radio,CM,0,1,SingleQuestion,During what project life cycle phase is the detailed project budget created,,,[Qno: PML_2608] >> ,,,,
,,,,,,1,Planning,,,,,
,,,,,,,Initiating,,,,,
,,,,,,,Before cost estimating,,,,,
,,,,,,,Executing,,,,,
Radio,CM,0,1,SingleQuestion,Against what you measure cost performance on the project?,,,[Qno: PML_2669] >> ,,,,
,,,,,,,Cost management plan,,,,,
,,,,,,1,Cost performance baseline,,,,,
,,,,,,,Estimate to Complete,,,,,
,,,,,,,Chart of accounts,,,,,
Radio,CM,0,1,SingleQuestion,Cost control is concerned with,,,[Qno: PML_2675] >> ,,,,
,,,,,,,Resource rates,,,,,
,,,,,,,Chart of accounts,,,,,
,,,,,,,Organizational Policies,,,,,
,,,,,,1,Managing changes when they occur,,,,,
Radio,CM,0,1,SingleQuestion,You are estimating resources required for activity what information you need?,,,"[Qno: PML_2678] >> How many, what kind / skill / experience is required for completing any activity is influenced by availability of resource when you need them. Others are related to cost of activity",,,,
,,,,,,,Cost baseline,,,,,
,,,,,,,Cost management plan,,,,,
,,,,,,1,Resource calendars,,,,,
